No	From	To	Tokens	TokenBalance	Block	TxIndex	TxHash
28	0x0000000000000000000000000000000000000000	0x89a94b48b21d3b5f959305643d3c71dc88cc7fbc	1627.512	12847342.099416088209497283	3913150	5	0x348f4ac0428b44412f08aa27a081e1750493520d9ebb21b1cdaa3ce3b3eca7b0
29	0x0000000000000000000000000000000000000000	0xbb1f1a28e6d86c296864209a6071023d45180ae6	1436.04	12848778.139416088209497283	3913150	6	0x3f9363eed1b8395332e3bbc813e9f603a3472c03880bd258c794311d5b30cbe6
30	0x0000000000000000000000000000000000000000	0xd6b7695bc74e2c950eb953316359eab283c5bda8	4786.8	12853564.939416088209497283	3913150	7	0x4929458fbf08438fc8726cd8e7503053ac7a0b679594aca4536ef8abb07debc0
31	0x0000000000000000000000000000000000000000	0x0f934a2123a2b510522590599eb9bec66c89e64b	2872.71795215376	12856437.657368241969497283	3913150	9	0x4c382d3cda16dd6f2617a10b112b180745bb433ad46c7b93617d61ecc712bdfe
32	0x0000000000000000000000000000000000000000	0xb035c904c0770759369eb7432691a80e30df9c93	957.36	12857395.017368241969497283	3913150	10	0x57a9a3a53d61a7a03206eddd68ee85956958931ea9b222a0ac5807de4612cfdc
33	0x0000000000000000000000000000000000000000	0xc7d7f6df2872eb0a2fc69251e8cc7d2876ec1b8d	799.3956	12858194.412968241969497283	3913150	11	0x5c663fde03d2116f6294891e5b822a3b9d20cabb5a98e6f540d1733296b9fefb
34	0x0000000000000000000000000000000000000000	0x92a8f4c470e2c243e48c14709dda9009be4d5310	957.36	12859151.772968241969497283	3913150	12	0x61262d336b839fddedb073b2aaedf8705df4775bee0dd8473890f77be8ff0c46
35	0x0000000000000000000000000000000000000000	0x4ae6a8a28c87b75e935a90d6128f2649c969c0d8	239.34	12859391.112968241969497283	3913150	13	0x64544f3a5278060f31cdeec767189a51137285100c98816ce453c939f842004d
36	0x0000000000000000000000000000000000000000	0x00a7ea77c5412bfc0c4e3a2991222daa56801699	4786.8	12864177.912968241969497283	3913150	14	0x6663f580f8357913dd048d197cdacb5b4a69855581239c9eb1524163d1c12b92
37	0x0000000000000000000000000000000000000000	0x6675a5b92bf2316769ca3d80ddbb656d2cf9af9b	1914.72	12866092.632968241969497283	3913150	15	0x730d0df040d9cf895d6e1572d01be9fd24b63fb1b769f17bd318d11eebb6bfc6
38	0x0000000000000000000000000000000000000000	0x5926fe867e951386ef17474e8eb713f17095b663	4547.46	12870640.092968241969497283	3913150	17	0xc692f1751797eae22ae49b346475c2bfad51ec6a9d8dd72a81136855a5ba8c81
39	0x0000000000000000000000000000000000000000	0x31b3233acfa550584d38ba94dd037c4d8b04f074	478.68	12871118.772968241969497283	3913150	18	0xccdbfe1b766a91e06738f8fc32098b08a89b5e49d98a9997ecbff6691ccd43d0
40	0x0000000000000000000000000000000000000000	0xfcc5c1f3182dd4c3628de14d8a2c070a79e5e44f	4643.196	12875761.968968241969497283	3913150	19	0xd2188a7c9280bf5eaad0c20d74d015c29d37ecd3bdf6fa087ca6800629e09542
41	0x0000000000000000000000000000000000000000	0x8e764e690b3b25bd3e8b2714c8f4e06e7e0416c8	1795.05	12877557.018968241969497283	3913150	20	0xd306dc2b8b14308fbf832e9b66e832138d265fdd20b044e838ab150a3a69b3fe
