No	Buyer	Ethers	Tokens	TokenBalance	TokensPerKEther	TxIndex	TxHash	Block	EtherBalance
790	0xbcd27c9611784997df4dcf9415e8369035fe98ea	2.1	1005.228	16697332.209333634941146078	478680	45	0x3f233ffbba01e7420bd52bfa13b320b046b6aac8a6d469c34c26ea56d35fc19e	3913242	8588.429032618105918664
791	0xbc13a9ed082cc1556a92d05a143fcd2346ebe62c	2	957.36	16698289.569333634941146078	478680	60	0xea31197d2dbd78e3265b9a6b57cde9b52906fe70ba9d08d41b2cc6121c532727	3913242	8590.429032618105918664
792	0xac9655475b896493ffc4cc12008d51af15143945	0.43	205.8324	16698495.401733634941146078	478680	67	0x8c8653dfa3f6834402058c4d66947312fd77350420026f39679ae52df2266824	3913242	8590.859032618105918664
793	0x83d63bd3b58e8ab3ee0d1a72de5374fb849262e3	0.9	430.812	16698926.213733634941146078	478680	75	0xa2adf255a65cf00cbf26a1f8d23c959180c84f13d29ac89cf4d537a966cb6aab	3913242	8591.759032618105918664
794	0xea56152d94d6dc1d69c90e1bb4a2ef8c79d4d49d	2.35	1124.898	16700051.111733634941146078	478680	135	0x3cb21075540b57397e0270805ec26fee81e5a62ff47c162e701431b545b62935	3913243	8594.109032618105918664
795	0x1a289ac97e66ee027c0a1ec59b34807e67365068	0.55	263.274	16700314.385733634941146078	478680	136	0xc1b1841543a8bfe637baf5cb3407944fdac5029d948f4448e6fabd8b965e941d	3913243	8594.659032618105918664
796	0xc6b54215900b1ce470a8e895e55c6575d2ce888e	3.3	1579.644	16701894.029733634941146078	478680	148	0x476bf5b195de2b955fb54eb37a0ccc4d8021745a9529a775ec19663a51212060	3913243	8597.959032618105918664
797	0x938afa1702f8b78becab440629a503f8c7b4a79a	11	5265.48	16707159.509733634941146078	478680	2	0xe73ef8324555bf7df638a97eb82954216d62cc8f9119c437758270420c4f75c5	3913244	8608.959032618105918664
798	0x809c51e868c3977139e13cb99333eaa0e7915bdb	3	1436.04	16708595.549733634941146078	478680	8	0x3d157b6890cc8b3841d96b59554210e85918e0f80308b2064ea938fcc1512318	3913244	8611.959032618105918664
799	0x0f934a2123a2b510522590599eb9bec66c89e64b	1.9950782	955.004032776	16709550.553766410941146078	478680	9	0xa2b7af37814b218283bf405322862ca0588aaafc0a81410d3fa922bb7250634a	3913244	8613.954110818105918664
800	0x26289f1da31c1c480e542b2a1ba639385d3cd9eb	1	478.68	16710029.233766410941146078	478680	19	0xb71bce072eec15a32b81b3d94ae105580ca91e33361c952ea80786cb57f53be9	3913244	8614.954110818105918664
801	0xc32548ea1e08877dfaf9a4e8fb55acfcdb042849	0.14	67.0152	16710096.248966410941146078	478680	24	0x2d979fcc37730857c9b467ac54b90fc0110f960d8e3c1c0faf2993c4819ad1bb	3913244	8615.094110818105918664
802	0x4e2dd5be11ff00715c57e53825bfc628901d1d6b	0.5297	253.556796	16710349.805762410941146078	478680	37	0x089c26d28e65ed0da4a666d676cfc7c100e094b1f6c3db59608cd87db783f043	3913244	8615.623810818105918664
803	0x7947168b6bd43f07ef745a3b0715d051f29c489b	12	5744.16	16716093.965762410941146078	478680	47	0x38718ef938e6b73f5444b8479302b408d284abedfa76bdd74e0be7f6b8ff4a92	3913244	8627.623810818105918664
804	0x7d86fef6d9423e4c52f4daa476c87a3761025da0	0.09	43.0812	16716137.046962410941146078	478680	51	0x451dac281c06184e542839fd91269a3b8cd6bae5e3a5bb0d84543cc55f2ee3e5	3913244	8627.713810818105918664
805	0x31fd36d29201d5d5f276989626af2b15b11ba520	1	478.68	16716615.726962410941146078	478680	91	0xfc08a22160725fa93f0c6d1b2f22515e473a1e8f6cb31b3dbcb290957d87fa39	3913244	8628.713810818105918664
806	0x284e56161f159cfa4fa1d9101ec60014178b470e	18	8616.24	16725231.966962410941146078	478680	95	0x0e171cefee3bc794b2678b850a1a54e47dd34259af1185f2a2029d423413de11	3913244	8646.713810818105918664
807	0x3358da991838e8042b2363f2dfcef1edf48544e2	8	3829.44	16729061.406962410941146078	478680	97	0x14348a5071968f2c3a439ed5ca921bbb3d0d8cc6b14f5c6286d953b065a118a2	3913244	8654.713810818105918664
808	0xe64fdfbaabfa221da2217e526219aa856e6b9f17	0.6	287.208	16729348.614962410941146078	478680	22	0x4a680880d89148f23fb30014d5cbb731d17a849461eca231f3369fd74aa67723	3913245	8655.313810818105918664
809	0xcac0eb798903ffe73ab1776da3174e6e40e721c6	0.51	244.1268	16729592.741762410941146078	478680	24	0x4e69376664ac2f1425ee7db1cab716a9a3c1e5fc241a53b38f3b098765059b5c	3913245	8655.823810818105918664
810	0x0f00b1bb94d807959499e4ec372d3f9102d825cf	10	4786.8	16734379.541762410941146078	478680	28	0x5df327434393b9f719d9f6e3d339e974864a0654f9c086befb3bfd9366e4de02	3913245	8665.823810818105918664
811	0xe16bb6525a51ecd86691839f6719fc3ae4d741c5	1.5	718.02	16735097.561762410941146078	478680	42	0xebe6ac62408ef89c6079691246e3bc437a16d204d6aca0c816251a9714c60f84	3913245	8667.323810818105918664
812	0x4d454f48989a2397b680568139e1aed25c0f649e	0.25	119.67	16735217.231762410941146078	478680	1	0xf22e733b6e34d160181ad28d30768e6bd695a54cf78f04866bc2a7efe39511c1	3913247	8667.573810818105918664
813	0x8aae50113d811edf6653ee28a779cdbd2a783707	0.81	387.7308	16735604.962562410941146078	478680	7	0x517aba792f0586b15a3b51ec23ff0bfc6411c8f08c3dae9481e3d9b02ade396c	3913247	8668.383810818105918664
814	0xf57d20cc6d7c3f2a91e451f13a2b811cb06ba7cb	0.35	167.538	16735772.500562410941146078	478680	12	0xca9c3d5219f668ddf7f3325acf801318052f44f4f9a6f7a3ae4431ba1493bc2e	3913250	8668.733810818105918664
815	0xcaaeeede9516034796a889625013bb643c9f962e	2	957.36	16736729.860562410941146078	478680	13	0xc5b46e0f395c89b38b0e17b04546a9917fa59da12706a1c711806a623f43d7da	3913250	8670.733810818105918664
816	0x81334fbd096c9f293610ef7850aac20632dd5c8d	3	1436.04	16738165.900562410941146078	478680	35	0x12a41ac4c0cd8959299412bc5a88ea4ce5fb1eb56060b9b41440732755fb47bc	3913250	8673.733810818105918664
817	0x1e5098e2557262ba48676cf020545c331264e95d	2	957.36	16739123.260562410941146078	478680	8	0xa263993cce12be1904ef223d1dd8ab36c86f494e129e4a235e96bbec71f3533c	3913251	8675.733810818105918664
